# Time-averaged data for fix velpos
# TimeStep v_vcmx v_vcmy v_vcmz v_xcmx v_xcmy v_xcmz
2002690 -0.00273204 -0.00302225 0.000455095 -7.92821 12.5616 -72.174
2002700 -0.00347751 -2.50697e-05 0.00175159 -7.96034 12.5472 -72.1622
2002710 -0.00370266 0.00195558 0.00199487 -7.99613 12.5579 -72.1426
2002720 -0.00364381 0.00210352 0.00156405 -8.03372 12.58 -72.1246
2002730 -0.00246967 0.000967201 0.00112995 -8.06499 12.5956 -72.1112
2002740 -0.000808283 0.000314007 0.00120831 -8.08155 12.6012 -72.1004
2002750 0.000296263 0.000196265 0.00190787 -8.08303 12.6038 -72.0847
2002760 0.000526961 -0.000633672 0.00192971 -8.07892 12.6025 -72.0647
2002770 0.00134705 -0.0019759 0.00127521 -8.07005 12.5894 -72.0484
2002780 0.0019925 -0.00310556 0.000485408 -8.05263 12.5637 -72.0396
2002790 0.00186342 -0.00361728 -0.000119698 -8.0329 12.5295 -72.0381
2002800 0.00125641 -0.00376139 -0.000275779 -8.01687 12.4926 -72.0405
2002810 0.000282534 -0.00392393 -0.000297993 -8.00909 12.454 -72.043
2002820 -0.000426098 -0.0036084 -0.00127763 -8.01025 12.4158 -72.0498
2002830 -0.000660413 -0.00269841 -0.00275511 -8.01607 12.3838 -72.0704
2002840 -0.000369045 -0.00162546 -0.00292263 -8.02164 12.3624 -72.1005
2002850 -5.04666e-05 -0.000977913 -0.000740476 -8.02338 12.3498 -72.1208
2002860 4.53281e-05 -0.000778235 0.00248764 -8.02344 12.3414 -72.1117
2002870 -0.000274945 -0.0013024 0.00498908 -8.02368 12.3319 -72.0737
2002880 -0.00160571 -0.00240967 0.00651128 -8.03256 12.3133 -72.015
2002890 -0.00308201 -0.00352809 0.00646762 -8.05627 12.2838 -71.9491
2002900 -0.0037476 -0.00453604 0.00605385 -8.09139 12.243 -71.8866
2002910 -0.00348863 -0.00495938 0.00577168 -8.1281 12.1951 -71.8276
2002920 -0.00286319 -0.0048532 0.00555032 -8.15996 12.1455 -71.7708
2002930 -0.00214311 -0.00431728 0.00421958 -8.18513 12.0995 -71.7203
2002940 -0.00174496 -0.00337099 0.00115568 -8.20371 12.0604 -71.6929
2002950 -0.00220714 -0.00164081 -0.00107599 -8.22308 12.0348 -71.6937
2002960 -0.00262332 0.000575634 -0.00285149 -8.24776 12.0293 -71.7129
2002970 -0.00226833 0.00261513 -0.00430965 -8.27247 12.0455 -71.7502
2002980 -0.00267624 0.00433794 -0.00378897 -8.29609 12.0806 -71.792
2002990 -0.0038528 0.00573108 -0.00272071 -8.3286 12.1311 -71.8243
2003000 -0.0046382 0.00670959 -0.00203132 -8.37175 12.1942 -71.8478
2003010 -0.00472919 0.00604533 -0.00136153 -8.41902 12.2595 -71.865
2003020 -0.00396532 0.00422698 -0.000671594 -8.46371 12.3113 -71.8748
2003030 -0.00117701 0.00199189 -0.000124982 -8.49143 12.3428 -71.8792
